brand,model,model_year,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,milage
ALFA,Romeo_Stelvio_Ti_Sport,2020,Gasoline,2.0L_I4_16V_GDI_SOHC_Turbo,8-Speed Automatic,Lunare White Metallic,Ice,None reported,Yes,32080.5,30038.3
FERRARI,FF_Base,2016,Gasoline,651.0HP_6.3L_12_Cylinder_Engine_Gasoline_Fuel,7-Speed A/T,Black,Brown,None reported,Yes,134910,32165.9
KIA,K900_5.0L,2017,Gasoline,420.0HP_5.0L_8_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,21555,58718.4
FORD,E150_XLT,2013,E85 Flex Fuel,255.0HP_5.4L_8_Cylinder_Engine_Flex_Fuel_Capability,4-Speed A/T,Black,Gray,None reported,Yes,11250,260874
TESLA,Model_3_Performance,2022,,455.0HP_Electric_Motor_Electric_Fuel_System,A/T,Black,White,None reported,Yes,42300,21048.6
TOYOTA,4Runner_SR5,2022,Gasoline,4.0L_V6_24V_MPFI_DOHC,5-Speed Automatic,Silver,Gray,None reported,,33299.1,45668.2
SUBARU,Forester_Base,2020,Gasoline,182.0HP_2.5L_4_Cylinder_Engine_Gasoline_Fuel,CVT Transmission,Black,Gray,None reported,Yes,21600,52696.2
PORSCHE,Panamera_2,2012,Gasoline,300.0HP_3.6L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,23400,86904.4
TOYOTA,Tacoma_PreRunner,2008,Gasoline,236.0HP_4.0L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,7650,325175.2
RAM,2500_Laramie,2019,Diesel,370.0HP_6.7L_Straight_6_Cylinder_Engine_Diesel_Fuel,6-Speed A/T,Black,Black,None reported,Yes,58500,104607.1
KIA,Sportage_Nightfall,2022,Gasoline,2.4L_I4_16V_GDI_DOHC,6-Speed Automatic,Hyper Red,Black,None reported,Yes,27891,15588.1
CADILLAC,DTS_Base,2010,Gasoline,275.0HP_4.6L_8_Cylinder_Engine_Gasoline_Fuel,A/T,White,Gray,None reported,Yes,9449.1,79855.5
TOYOTA,Land_Cruiser_Base,1997,Gasoline,212.0HP_4.5L_Straight_6_Cylinder_Engine_Gasoline_Fuel,4-Speed A/T,White,Beige,None reported,Yes,23850,342789.4
NISSAN,GT-R_Premium,2020,Gasoline,565.0HP_3.8L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,White,Black,None reported,Yes,102600,25765.5
LEXUS,NX_350_F_SPORT_Handling,2023,Gasoline,2.4_Liter,8-SPEED AT,Black,Black,None reported,,46798.2,1319.7
AUDI,Q7_45_Premium_Plus,2021,Gasoline,248.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Blue,Black,None reported,Yes,32849.1,109435.1
LEXUS,LX_470_Base,1999,Gasoline,230.0HP_4.7L_8_Cylinder_Engine_Gasoline_Fuel,A/T,White,Beige,None reported,Yes,22500,131965.9
GMC,Terrain_SLE,2022,Gasoline,1.5L_I4_16V_GDI_DOHC_Turbo,9-Speed Automatic,Summit White,Jet Black,None reported,,25006.5,44018.7
FORD,Escape_Limited,2012,Gasoline,171.0HP_2.5L_4_Cylinder_Engine_Gasoline_Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,6300,207604.9
LEXUS,LS_460_L,2014,Gasoline,360.0HP_4.6L_8_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,27000,171766.5
FORD,Expedition_Platinum,2019,Gasoline,400.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,10-Speed A/T,White,White,None reported,Yes,40950,55799
CHEVROLET,Malibu_LTZ,2010,Gasoline,252.0HP_3.6L_V6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Beige,Beige,None reported,Yes,8055,89962.1
AUDI,RS_7_4.0T_quattro,2023,Gasoline,4.0L_V8_32V_GDI_DOHC_Twin_Turbo,1-Speed Automatic,Daytona Gray Pearl Effect,Black / Express Red,None reported,,116010,5082.3
AUDI,A5_2.0T_Premium_Plus,2015,Gasoline,220.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,White,Brown,None reported,Yes,15300,131965.9
GENESIS,G70_2.0T,2023,Gasoline,2.0L_I4_16V_GDI_DOHC_Turbo,Automatic,Vik Black,Obsidian Black,None reported,Yes,38565,7700.7
CHEVROLET,Trailblazer_LS,2021,Gasoline,1.3L_I3_12V_GDI_DOHC_Turbo,9-Speed Automatic,Pacific Blue Metallic,Black,None reported,,20699.1,32986.6
SCION,tC_Base,2013,Gasoline,180.0HP_2.5L_4_Cylinder_Engine_Gasoline_Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,6390,285818.8
LINCOLN,MKZ_Hybrid_Base,2014,Hybrid,188.0HP_2.0L_4_Cylinder_Engine_Gas/Electric_Hybrid,A/T,Blue,Beige,None reported,Yes,13950,126442.6
FORD,Transit-350_XL,2018,E85 Flex Fuel,275.0HP_3.7L_V6_Cylinder_Engine_Flex_Fuel_Capability,A/T,White,Gray,None reported,Yes,38700,152887.3
PORSCHE,911_GT2_RS,2018,Gasoline,3.8L_H6_24V_GDI_DOHC_Twin_Turbo,7-Speed Automatic with Auto-Shift,Black,Black,None reported,Yes,375750,7288.7
FORD,Explorer_Timberline,2021,Gasoline,2.3L_I4_16V_GDI_DOHC_Turbo,10-Speed Automatic,Gray,Ebony,At least 1 accident or damage reported,,35955.9,40619.7
VOLVO,XC90_3.2,2011,Gasoline,235.0HP_3.2L_Straight_6_Cylinder_Engine_Gasoline_Fuel,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,10350,142104.7
CHEVROLET,Avalanche_LTZ,2013,E85 Flex Fuel,320.0HP_5.3L_8_Cylinder_Engine_Flex_Fuel_Capability,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,24749.1,157715.3
AUDI,TT_RS_2.5T,2018,Gasoline,400.0HP_2.5L_5_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,68400,33273.1
LINCOLN,Navigator_L,2008,Gasoline,300.0HP_5.4L_8_Cylinder_Engine_Gasoline_Fuel,A/T,Black,Black,None reported,Yes,9810,152887.3
